timestamp,framework,commit,model,quant,threads,numa,pp512_tps,tg128_tps,file_size_bytes,bpw,ppl_wt2_c2048,ppl_fp16_anchor,tool,notes
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XXS,24,none,,,280496256,2.92,1298.6393,18.4881,llama-perplexity,wt2-raw full test; ctx2048; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XXS,1,none,19.76,13.43,280496256,2.92,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XXS,6,none,113.91,61.2,280496256,2.92,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XXS,12,none,222.06,94.72,280496256,2.92,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XXS,24,none,416.27,119.79,280496256,2.92,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XXS,48,none,358.32,108.79,280496256,2.92,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XXS,12,node0-cpubind,224.88,105.51,280496256,2.92,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ1_S,24,none,,,259065984,2.69,15737.8044,18.4881,llama-perplexity,wt2-raw full test; ctx2048; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ1_S,1,none,20.79,14.51,259065984,2.69,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ1_S,6,none,118.86,65.27,259065984,2.69,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ1_S,12,none,232.16,101.29,259065984,2.69,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ1_S,24,none,435.34,136.38,259065984,2.69,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ1_S,48,none,371.53,125.45,259065984,2.69,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ1_S,12,node0-cpubind,234.38,99.44,259065984,2.69,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); imatrix(wt2-train-100k)
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,F16,24,none,,,1509347136,16.001,18.4883,18.4883,llama-perplexity,wt2-raw full test; ctx2048; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,F16,1,none,85.08,7.91,1509347136,16.001,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,F16,6,none,481.13,34.63,1509347136,16.001,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,F16,12,none,863.67,44.23,1509347136,16.001,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,F16,24,none,950.61,42.07,1509347136,16.001,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,F16,48,none,1369.56,39.08,1509347136,16.001,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,F16,12,node0-cpubind,895.08,47.89,1509347136,16.001,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); no-imatrix
